Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date,Station Type,Sensor Type
4O,EE03,-101.761496,31.61121,Diamondback / Deep Blue Water,TXHUB,,,999,2024-09-11,,Non-TexNet,Broadband
4O,MBBB6,-101.92309,31.917202,ExxonMobil,,,,819,2024-07-24,,Non-TexNet,Broadband
AM,R0F1A,-95.576,29.5978,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,27,2016-11-01,2023-06-06,Non-TexNet,Raspberry Shake
AM,R9B84,-95.6986,29.9144,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,46,2016-11-01,2021-02-11,Non-TexNet,Short period
AM,R9EE9,-96.7944,32.8533,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,178,2016-11-01,2018-09-22,Non-TexNet,Raspberry Shake
AM,R349C,-101.9118,33.5954,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),985,2017-01-01,2023-06-05,Non-TexNet,Short period
AM,R3913,-98.4261,29.5843,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),256,2017-01-01,2018-09-12,Non-TexNet,Short period
AM,R7489,-95.5868,30.1825,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),67,2017-01-01,2018-08-08,Non-TexNet,Short period
AM,R7783,-97.8306,30.4717,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),297,2017-01-01,2020-01-06,Non-TexNet,Short period
AM,R7813,-96.5851,33.0413,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,167,2017-01-01,2023-06-05,Non-TexNet,Short period
AM,RC421,-96.2945,30.6466,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,88,2016-11-01,2021-02-15,Non-TexNet,Raspberry Shake
AM,REA98,-95.3852,29.81,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,18,2016-11-01,2019-08-13,Non-TexNet,Raspberry Shake
AM,RFAE6,-97.1323,32.2972,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,199,2016-11-01,2022-08-18,Non-TexNet,Raspberry Shake
AM,RFFB7,-97.1041,33.221,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),199,2017-01-01,2023-06-05,Non-TexNet,Short period
4O,BW01,-101.25893,32.35311,Bayswater Exploration & Production LLC,,,,729,2024-09-23,,Non-TexNet,Broadband
4O,BB01,-102.62554,31.50891,Blackbeard Operating LLC,,,,804,2024-09-23,,Non-TexNet,Broadband
4O,SE01,-102.34196,32.01531,Slant Energy,,,,898,2024-09-23,,Non-TexNet,Broadband
4O,WW01,-103.90409,31.769723,Wes Water Holdings,,,,877,2024-09-17,,Non-TexNet,Broadband
ZW,ITL2,-96.891518,32.84024,,,,,230,2014-01-07,2017-12-31,TexNet Portable,Short period
SC,CBET,-103.878998,32.4203,New Mexico Tech Seismic Network (),,,Carlsbad East Tower,1042,1999-01-01,,Non-TexNet,Short period
SC,CL2B,-103.878998,32.264099,New Mexico Tech Seismic Network (),,,Gnome Test Site,1046,1999-01-01,,Non-TexNet,Short period
SC,CL7,-103.8084,32.413,New Mexico Tech Seismic Network (),,,WIPP Site,1034,1999-01-01,,Non-TexNet,Broadband
SC,CPRX,-103.867302,33.0308,New Mexico Tech Seismic Network (),,,Cap Rock,1361,1999-01-01,,Non-TexNet,Broadband
SC,DAG,-104.691704,32.591,New Mexico Tech Seismic Network (),,,Dagger Draw,1280,1999-01-01,,Non-TexNet,Broadband
SC,GDL2,-104.363718,32.200748,,,,,1211,1999-01-01,,Non-TexNet,Broadband
SC,HTMS,-103.6343,32.472599,New Mexico Tech Seismic Network (),,,Hat Mesa,1192,1999-01-01,,Non-TexNet,Short period
SC,SRH,-104.515404,32.491798,New Mexico Tech Seismic Network (),,,Seven River Hills,1276,2004-05-12,,Non-TexNet,Short period
SC,SSS,-103.398598,32.355099,New Mexico Tech Seismic Network (),,,San Simon Sink,1072,1999-01-01,,Non-TexNet,Short period
NX,WTX28,-103.376924,32.878676,,,,,1173,2020-11-05,,,Broadband
NX,WTX29,-103.556767,32.741397,,,,,1207,2020-11-05,,,Broadband
4T,FOAK2,-98.484819,28.675399,,,,"Atascosa County, TX",102,2024-10-14,,TexNet Portable,
4T,FOAK1,-98.505556,28.654167,,,,"Atascosa County, TX",99,2024-10-14,,TexNet Portable,
4T,FOAK3,-98.509819,28.622016,,,,"McMullen County, TX",103,2024-10-14,,TexNet Portable,
4T,FOAK4,-98.533689,28.649671,,,,"McMullen county, TX",99,2024-10-14,,TexNet Portable,
4O,NGL01,-102.9968,32.2098,NGL Water Solutions Permian LLC.,,,,991,2024-10-08,,Non-TexNet,Broadband
4O,NGL02,-103.0443,32.2301,NGL Water Solutions Permian LLC.,,,,993,2024-10-08,,Non-TexNet,Broadband
TX,MB26,-102.638268,31.491225,,,,"Crane County, TX",800,2025-02-13,,TexNet Portable,
TX,PB41,-103.009892,31.284782,,,,,783,2024-12-06,,TexNet Portable,
N4,143B,-91.4036,32.7032,,,,LA / Pioneer,31,2014-01-30,,Non-TexNet,Broadband
N4,Z47B,-88.0696,33.1989,,,,AL / Carrollton,64,2014-02-28,,Non-TexNet,Broadband
AG,WHAR,-92.289,35.29,,,,,184,2010-02-15,,Non-TexNet,Broadband
AG,X40A,-92.8342,34.4873,,,,,158,2016-06-22,,Non-TexNet,Broadband
AG,Z41A,-92.803,33.2577,,,,,62,2016-08-10,,Non-TexNet,Broadband
IU,WVT,-87.83,36.1297,,,,,170,1997-04-16,,Non-TexNet,Broadband
4O,OE02,-101.8231,32.2168,Martin Water Midstream LLC,,,,845,2024-12-22,,Non-TexNet,Broadband
2T,EF80,-97.14223,29.3151,University of Texas,TXHUB,,"Yoakum, TX",80,2025-01-08,,TexNet Portable,Broadband
TX,DFG03,-96.898925,32.848849,University of Texas,TexNet,,,124,2025-01-23,,TexNet Portable,
TX,DFG04,-96.921362,32.831061,University of Texas,TexNet,,,125,2025-01-23,,TexNet Portable,
TX,DFG07,-97.203503,32.576212,University of Texas,TexNet,,,198,2025-01-24,,TexNet Portable,
TX,DFG06,-97.155079,32.461957,University of Texas,TexNet,,,197,2025-01-24,,TexNet Portable,
TX,DFG05,-97.103151,32.432535,University of Texas,TexNet,,,193,2025-01-24,,TexNet Portable,
TX,ET03,-94.173999,31.515911,,,,San Augustine County,75,2025-01-31,,TexNet Portable,
US,VBMS,-90.517671,32.21851,,,,,16,2007-04-13,,Non-TexNet,Broadband
4O,SM05,-102.155,32.30357,"Stonehill Martin, LLC,",,,,889,2025-02-08,,Non-TexNet,Broadband
TX,DFG01,-97.1425,32.5202,University of Texas,TexNet,,Johnson County,100,2025-03-19,,TexNet Portable,
TX,DFG09,-97.099243,32.507303,University of Texas,TexNet,,Johnson County,183,2025-03-19,,TexNet Portable,
4O,PRS01,-103.32042,31.8832,Waterbridge,,,,878,2025-02-15,,Non-TexNet,Broadband
TX,MB27,-101.899528,32.520028,Unavailable,TXHUB,,,844,2025-04-03,,TexNet Portable,Broadband
TX,MB28,-102.683735,32.798048,,,,,1034,2025-04-15,,TexNet Portable,Broadband
TX,MB15D,-102.165848,32.393918,,,,"Lenorah, TX",885,2025-04-16,,TexNet Portable,Broadband
TX,DFG08,-96.91021,32.833879,University of Texas,TexNet,,Dallas County,153,2025-04-17,,TexNet Portable,
TX,DFG10,-97.23047,32.496143,University of Texas,TexNet,,Johnson County,192,2025-04-17,,TexNet Portable,
4O,FOR01,-102.21466083,32.08600483,Fasken Oil and Ranch,,,Fasken ranch,871,2025-05-05,,Non-TexNet,Broadband
4O,SA01,-104.1021,31.7909,Saturn SWD LLC,,,,971,2025-05-03,,Non-TexNet,Broadband
TX,MB15A,-102.165886,32.393848,Guralp Systems,,,MB15A,899,2025-05-14,2025-05-30,TexNet Portable,Broadband
TX,MB29,-100.487088,31.903133,,,,"Coke County, TX",571,2025-05-22,,TexNet Portable,
4O,SM06,-101.925,32.5367,"Stonehill Dawson, LLC",,,,867,2025-05-19,,Non-TexNet,Broadband
TX,MB15C,-102.165886,32.393848,Guralp Systems,,,Martin County,899,2025-05-30,2025-07-10,TexNet Portable,Broadband
4O,DBL01,-102.120404,32.421461,Deep Blue Water,,,,879,2025-05-22,,Non-TexNet,Broadband
4O,DBL02,-102.028043,32.385171,Deep Blue Water,,,,866,2025-05-22,,Non-TexNet,Broadband
4O,EE05,-102.1392,32.4876,Diamondback / Deep Blue Water,TXHUB,,,860,2025-06-04,,Non-TexNet,Broadband
TX,DG11,-103.3778,31.10306,University of Texas,TexNet,,"Pecos, TX",861,2025-07-10,,TexNet Portable,
TX,MB31,-101.383693,32.598942,,,,BBorden County,742,2025-07-16,,TexNet Portable,
TX,ET04,-94.4272,31.6166,,,,,122,2025-08-06,,TexNet Portable,
TX,EF10,-96.672492,29.493642,,,,Colorado,6,2025-08-21,,TexNet Portable,Broadband
4O,VW02,-102.0121,32.1763,Velocity Water Solutions,,,,845,2025-09-14,,Non-TexNet,Broadband
4O,WB13,-103.38307,31.51692,Waterbridge,,,,759,2025-01-01,,Non-TexNet,Broadband
SC,WBN01,-103.6542578,32.0890922,,,,,1003,2025-01-01,,Non-TexNet,Broadband
SC,WBN02,-104.10458374,32.47423172,,,,,981,2025-01-01,,Non-TexNet,Broadband
4O,WW02,-103.803452,31.682472,Wes Water Holdings,,,,869,2025-09-23,,Non-TexNet,Broadband
2T,EF79,-98.5130556,28.386944,University of Texas,TXHUB,,McMullen County,85,2025-11-04,,TexNet Portable,Broadband
HZ,MBA02,-101.432612,31.191402,,,,,818,2019-05-24,,Non-TexNet,Short period
HZ,MBA01,-102.008147,32.036953,,,,,855,2019-05-24,,Non-TexNet,Short period
HZ,MBA03,-101.946126,31.792863,,,,,808,2019-05-24,,Non-TexNet,Short period
HZ,MBA04,-102.153087,32.282502,,,,,876,2019-05-24,,Non-TexNet,Short period
HZ,MBB01,-101.949275,31.756545,,,,,-459,2019-05-24,,Non-TexNet,Short period
